"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18";"x19";"x20";"x21";"x22";"x23";"x24";"x25";"x26";"x27";"x28";"x29";"x30";"x31";"x32";"x33";"x34";"x35";"x36";"x37";"x38";"x39";"x40";"x41";"x42";"x43";"x44";"x45";"x46";"x47";"x48";"x49";"x50";"x51";"x52";"x53";"x54";"x55";"x56";"x57";"x58";"x59";"x60";"x61";"x62";"x63";"x64";"x65";"x66";"x67";"x68";"x69";"x70";"x71";"x72";"x73";"x74";"x75";"x76";"x77";"x78";"x79";"x80";"x81";"x82";"x83";"x84";"x85";"x86";"x87";"x88";"x89";"x90";"x91";"x92";"x93";"x94";"x95";"x96";"x97";"x98";"x99";"x100";"x101";"x102";"x103";"x104";"x105";"x106";"x107";"x108";"x109";"x110";"x111";"x112";"x113";"x114";"x115";"x116";"x117";"x118";"x119";"x120";"x121";"x122";"x123";"x124";"x125";"x126";"x127";"x128";"x129";"x130";"x131";"x132";"x133";"x134";"x135";"x136";"x137";"x138";"x139";"x140";"x141";"x142";"x143";"x144";"x145";"x146";"x147";"x148";"x149";"x150";"x151";"x152";"x153";"x154";"x155";"x156";"x157";"x158";"x159";"x160";"x161";"x162";"x163";"x164";"x165";"x166";"x167";"x168";"x169";"x170";"x171";"x172";"x173";"x174";"x175";"x176";"x177";"x178";"x179";"x180";"x181";"x182";"x183";"x184";"x185";"x186";"x187";"x188";"x189";"x190";"x191";"x192";"x193";"x194";"x195";"x196";"x197";"x198";"x199";"x200";"y"
8,43;6,01;-2,72;0,72;4,21;-2,41;-13,92;-4,76;12,84;2,14;19,79;18,61;-2,68;8,25;9,66;13,58;16,46;-1,97;7,73;20,41;7,08;-0,14;18,25;6,75;-4,06;-1,23;10,4;-10,75;-7,07;-1,92;-16,4;13,01;7,82;22,46;1,94;-16,96;-3,26;-7,07;17,57;4,5;9,87;-5,82;1,59;2,31;6,31;2,23;8,74;1,28;-10,16;20,57;9,36;-15,81;1,06;-8,83;-11,42;3,92;-4,33;39,06;5,38;2,69;16,77;0,17;-24,67;-1,48;-14,22;-41,39;-0,12;43,36;11,44;18,16;44,64;19,87;16,87;-9,87;-16,66;9,54;-42,1;-1,75;-4,44;-10,7;9,32;35,11;-4,16;-47,71;-19,97;-53,92;-58,26;17,92;-1,82;-26,24;-31,14;-13,83;-17,2;-5,39;-56,6;-58,05;-0,8;5,23;-94,21;19,42;109,65;-40,65;-66,91;-9,36;65,97;-17,94;68,94;7,71;-7,29;-49,7;20,25;16,42;-45,17;24,99;46,37;-15,66;-0,57;-38,95;-80,36;-10,39;72,75;-45,97;-13,58;-20,2;35,99;17,61;-42,67;-103,77;-20,48;-18,74;52,54;47,51;-57,91;-0,17;129,86;7,14;-11,35;-52,25;28,68;-6,77;-27,42;0,15;26,18;87,75;-21;-6,35;213,14;-21,73;-286,69;17,4;-86,52;-11,19;-117,12;274,38;-115,43;-42,22;56,86;-51,74;145,36;76,82;81,84;108,89;46,93;21,74;18,52;71,31;147,77;-146,3;-50,38;117,72;-70,47;-93,35;-13,12;-199,69;-42,2;-97,09;93,91;-71,93;27,52;101,62;183,55;25,63;-48,05;-164,48;-1,32;31,98;-104,37;-5,68;304,22;67,6;163,09;205,61;-31,02;-55,51;-107,07;86,04;-194,53;-248,93;-201,57;-128,54;-17,03
10,2;2,8;3,69;4,78;-11,03;-0,59;0,23;-1,41;-1;0,68;16,17;10,88;-0,87;4,65;3,8;-5,12;9,6;14,32;11,32;22,12;-0,64;6,1;13,61;-14,85;0,26;2,89;9,78;-7,57;-5;-17,57;-24,17;6,07;13,82;12,05;0,23;-24,69;-5,98;-6,42;7,6;13,58;-12,16;33,92;14,52;-10,96;-9,99;6,99;-7,97;7,39;-17,02;15,02;9,36;-3,36;-5,62;-26,92;-5,82;20,06;31,62;-15,62;7,72;2,81;10,16;-10,91;-9,83;40,04;-16,99;-0,82;-5,29;7,89;-8,47;39,33;16,87;3,56;11,43;-10,71;-3,48;-17,39;48,47;34,85;-8,83;18,25;-7,77;-11,72;-17,48;-42,33;31,49;49,11;-36,68;26,36;-44,83;-54,31;-6,44;-16,15;-15,59;24,2;36,82;3,5;3,26;36,52;22,83;-24,98;74,08;-56,34;-110,07;-3,61;7,31;5,9;-7,29;19,02;-32,23;-19,93;-36,49;43,37;-103,91;-9,97;17,73;4,49;-6,92;-34,76;-8,83;41,9;-33,93;-39,59;2,29;-49,87;-37,62;52,54;-6,94;-21,47;-9,94;24,45;30,06;53,57;-38,63;-98,19;59,83;37,59;-27,23;-118,39;84,89;109,32;-75,09;103,17;16,74;80,69;-125,33;-28,5;117,04;9,7;46,23;5,23;-49,92;45,09;-95,74;22,55;-16,85;27,75;45,41;-19,64;85,38;21,56;21,12;191,19;0,19;-70,74;-10,33;-83,07;10,91;-74,52;-7,77;91,05;-185,2;9,88;48,28;184,59;13,5;74,76;-187,3;129,3;-53,21;-196,49;220,77;-30,53;-7,99;-50,89;158,46;125,77;-155,15;118,69;142,37;-55,34;29,09;121,37;-148,39;68,38;-51,78;115,29;6,08;-126,89;-26,54;-25,07;33,54
0,65;2,16;-4,61;7,55;-15,61;-1,78;5,94;-10,31;6,04;-14,88;16,56;-15,69;-10,84;-9,23;11,71;23;-14,14;-1,52;-14,21;26,26;11,21;6,53;16,05;10,31;-1,02;-16,65;5,32;-9,34;-3,76;-10,25;-12,43;11,37;16,29;10,76;-9,36;41,8;2,21;-3,8;35,84;16,11;9,94;6,13;-7,93;-1,34;25,51;-20,43;-12,77;18,02;43,02;38,06;35,79;-23,11;73,77;-5,69;-22,96;-23,94;-17,39;5,28;32,38;-4,02;-65,5;36,64;-16,27;-35,57;-6,19;-5,21;37,42;8,21;13,62;14,58;73,51;-35,71;-42,25;-2,61;-15,03;-17,81;-92,77;21,12;32,07;70,04;14,54;16,37;-9,16;-31,35;-8,55;-85,24;-58,04;29,01;-33,54;-27,06;-7,94;31,98;-23,18;7,21;-104,58;-89,99;43,45;-119,24;-33,67;-1,41;161,48;-24,18;-71,68;-26,72;23,05;7,82;138,28;-22,65;-5,62;-34,98;17,02;22,16;-49,85;-36,04;17,59;8,07;42,19;-16,47;-35,44;73,2;120,11;68,08;-26,86;90,99;81,44;18,69;-100,29;-50,19;-41,06;-87,22;-101,52;121,85;8,18;-50,56;118;-21,95;85,75;138,51;33,12;-133,31;-66,95;13,85;-8,13;-18,02;5,51;56,06;240,03;72,12;-369,56;-48,58;-61,26;-23,72;-51;439,58;-71,42;166,97;23,7;-55,22;94,56;120,12;114,4;81,92;-88,49;-40,98;18,65;-8,97;187,38;-74,25;41,51;-24,34;166,12;-107,86;15,76;-437,29;-80,91;-15,54;12,54;-1,11;12,34;-41,31;156,93;17,11;-44,87;-186,08;34,66;-121,65;-116,09;20,6;237,76;-108,48;245,46;124,62;-56,07;-121,72;-39,61;95,11;-210,68;-184,6;294,36;-265,74;10,16
-2,55;-4,17;0,37;13,28;-0,99;4,19;6,62;-18,58;4,22;-14,8;19,85;2,36;-3,39;9,77;24,64;11,9;4,32;12,01;4,44;34,75;14,27;26,39;12,88;-11,2;6,4;-4,89;9,64;-11,2;-2,18;-14,36;-5,52;6,3;2,88;33,21;4,39;-13,5;4,32;3,59;15,03;-1,81;0,91;16,88;13,61;-5,61;-4,77;-5,55;-7,25;9,47;3,24;30,83;2;-19;7,69;-8,17;-7,72;18,6;8,29;-8,54;6,82;4,69;1,21;10,84;-4,74;-0,2;-5,86;-35,33;18,25;29,67;2,71;23,52;25,61;19,42;5,03;8,98;19,71;-11,69;18,73;46,19;10,47;-6,5;-4,39;13,68;-23,68;-70,9;36,49;43,73;-26,87;12,25;-42,34;-95,14;-18,66;-10,16;9,09;9,32;3,31;15,83;-16,52;-30,6;-15,47;-31,31;41,01;-26,6;-129,6;-22,84;60,18;16,04;-2,17;-7,11;-49,57;-28,93;-34,96;53,49;-116,96;27,46;50,02;16,19;0,96;-37,11;-48,17;43,2;-17,79;-11,09;-25,48;15,08;-29,77;29,18;22,02;-93,26;5,87;12,31;-3,32;61,87;-20,07;-157,56;210,92;10,66;14,87;4,79;110,61;27,14;-118,66;63,15;-4,04;12,13;-63,39;-0,19;51,08;52,02;49,86;11,17;-107,95;7,92;-21,6;20,97;-157,55;37,17;-0,09;49,86;34,85;19,38;15,03;197,37;-12,44;-95,34;34,27;-47,52;-22,31;-176,24;41,11;-5,16;-8,78;-82,28;45,58;-14,99;-16,06;19,55;-123,18;170,51;-28,87;-32,49;365,94;10,44;-103,43;20,44;206,55;22,89;-269,81;107,02;514,08;-40,22;11,8;339,98;-17,28;20,72;-196;154,71;-28,03;-382,79;80,13;-89,68;44,21
7,16;4,12;-12,33;4,42;-11,44;-0,41;-1,52;-6,19;-0,99;2,49;14,93;-0,06;-13,09;14,94;12,58;13,09;-5,6;29,04;0,2;38,92;-7,43;-17,69;11,77;-4,82;-5,32;3,25;19,75;-18,38;-1,12;-19,61;-6,6;1,7;19,36;18,87;8,93;-23,62;3,1;4,17;-2,22;-3,08;7,76;27,68;11,39;4,6;28,76;2,89;-13,39;27,63;19,66;1,91;-12,35;-12,05;1,19;-2,33;14,89;16,68;9,67;-6,19;1,72;-12,6;-18,49;11,6;-8,9;6,15;-28,55;-3,75;56,73;7,94;-4,15;42,25;9,67;60,3;-14,56;-3,83;-22,42;-44,91;0,01;44,82;19,81;-29,04;38,19;15,13;-17,66;-38,14;24,66;-13,33;-37,97;8,34;-57,42;-62,12;8,81;-9,42;43,44;25,27;8,17;-49,48;-10,22;-68,16;-12,1;-17,52;42,56;25,5;-137,3;-16,23;41,33;62,08;-14,36;7,3;-12,23;-42,57;51,85;66,83;-130,16;-27,69;22,34;21,38;57,83;-34,57;-37,74;128,9;35,96;50,31;-32,74;29,06;12,54;-4,97;15,33;-54,84;-24,05;48,53;-33,55;-14,62;-15,66;-132,31;155,54;36,15;63,24;162,31;87,39;60,02;-111,58;63,43;-43,39;-59,73;0,29;-31,04;127,01;95,8;-192,82;-44,23;-86,3;30,24;-88,99;153,34;-88,12;57,64;-71,48;31,46;129,16;60,99;10,59;180,51;-21,04;-68,07;9,38;-35,78;91,31;-95,93;88,23;7,24;85,01;1,29;51,18;-80,88;-1,24;52,73;-97,55;-42,54;-18,04;-32,42;258,9;-95,89;-42,23;-168,71;193,9;175,57;-212,4;143,73;319,02;66,02;143,79;235,38;50,33;69,94;-88,98;133,11;-92,09;-263,55;531,99;-26,01;127,59
6,28;7,3;9,88;4,54;7,51;-6,06;7,61;0,76;-1;-5,03;11,64;5,56;-13,5;1,24;15,35;-1,17;16,56;-0,35;16,6;29,15;-1,33;8,39;23,38;-9,43;12,33;1,79;7,63;-13,28;15,91;-17,12;-1,44;-0,82;14,6;18,26;-6,53;-14,78;-2,35;1,19;-8,25;6,87;-17,63;31,65;3,35;-3,76;-37,3;-5,78;-6,88;-14,78;-15,25;8,72;3,62;-13,72;-2,3;-18,58;6,1;21,87;17,87;-18,44;-7,06;-21,23;39,21;-15,18;-18,71;14,53;-1,29;-3,87;-19,63;9,29;-0,46;33,35;12,27;3,01;4,97;-8,93;-8,12;17,78;29,92;37,78;-27,16;30,91;-27;-13,64;-19,27;-54,54;40,36;32,76;-26,81;8,84;-37,21;-74,28;6,51;12,21;-26,33;28,77;22,48;-31,11;-17,07;24,96;18,87;-40,5;17,56;-51,78;-136,09;-16,46;28,27;-24,77;-9,85;-13,33;-35,51;-10,92;37,74;49,52;-117,87;42,44;31,5;19,14;-42,04;-33,51;-17,56;-25,01;-8,98;-69,05;-14,45;-11,8;-24,86;0,58;43,33;-31,11;-36,03;0,31;32,65;6,33;-55,01;-118,44;118,57;23,48;-50,54;-149,21;103,59;90,01;-88,2;123,95;38,92;83,3;-52,89;8,44;132,34;-33,49;-54,29;31,09;-62,7;14,55;-78,67;75,27;-33,45;-36,46;81,42;32,3;82,76;55,29;-8,27;226,52;16,87;-99,98;9,01;-81,19;32,71;-113,62;-70,65;61,55;-172,8;-15,58;43,35;0,27;9,3;25,62;-169,75;77,04;-44,37;-12,16;291,73;3,84;-45,93;-138,38;191,16;24,34;-218,72;120,85;321,91;4,09;87,11;196,47;-94,45;94,2;-90,35;148,85;-34,28;-247,64;-378,28;-38,04;-14,1
13,82;5,87;4,81;21,76;-8,73;-5,96;-2,25;3,05;-7,09;2,94;10,49;12,39;-8,67;16,7;20,54;4,89;12,05;13,54;6,12;19,12;15,95;0,82;15,37;2,19;-2,33;5,98;12,91;-23,11;1,21;-13,03;-13,94;-1,29;7,79;17,41;-3,2;-28,33;-3,25;-1,85;26,5;4,25;1,19;14,88;7,32;3,68;-3,88;-7,52;13,66;3,77;-1,81;37,73;19,04;-15,34;-23,58;-4,16;1,83;8,62;29,3;19,29;2,32;20,01;11,96;-14,68;-21,05;32,54;-15,79;-7,11;17,57;20,98;18,77;28,64;55,71;48,61;18,11;-16,66;-32,69;-22,89;-27,92;12,36;5,01;-29,72;4,17;17,34;-14,77;-35,54;-13,91;-31,19;-103,53;32,63;-1,05;-24,55;21,23;-18,45;27,33;38,01;-78,66;-134,03;-37,38;26,53;-66,11;25,98;221,22;-0,39;-96,81;-10;62;23,73;150,28;37,06;9,9;13,51;60,03;42,37;-58,31;-12,68;-25,15;-25,28;3,11;-9,44;-53,02;51,64;111,33;-1,86;2,55;-13,3;62,34;88,7;-80,88;-21,61;-71,84;90,14;21,61;168,9;-118,54;8,83;31,41;34,9;-4,94;-18,4;2;32,07;-12,58;96,4;5,12;-20,36;-179,3;-62,5;537,87;2,53;-482,39;17,19;-64,55;48,35;-276,35;551,24;32,1;-48,11;-8,73;4,77;257,86;164,52;135,98;143,88;34,98;42,34;-5,88;70,01;288,84;-90,43;-11,18;3,1;-92,06;-49,97;-0,79;-145,36;0,89;-55,97;-10,18;-92,39;-49,31;-40,7;56,59;-95,64;-1,44;-426,36;62,77;205,41;-95,81;81,49;63,2;59,58;387,89;94,76;6,52;-81,13;3,63;102,58;-326,03;-119,04;29,12;-213,17;75,82
-8,94;-2,79;8,59;3,65;-3,86;-11,44;-3,57;-0,12;-6,2;-9,8;13,39;11,14;-3,07;7,51;-2,79;-3,41;10,16;-3,01;11,08;21,98;-4,51;4,07;31,23;-7,45;2,72;2,2;4,84;4,64;-5,48;-15,42;-12,95;-1,86;13,36;21,46;7,51;-10,19;-3,5;-0,9;-6,28;-3,65;10,26;23,93;14,72;3,11;10,57;-18,66;9,19;8,27;15,23;-2,47;11,52;-12,28;6,21;16,57;2,51;16,44;21,25;14,57;20,32;-12;-13,47;16,21;7,46;16,02;-7,19;-14,24;10,64;29,74;5,82;34,27;-8,01;39,64;2,93;7,9;10,87;-16,34;35,34;34,81;24,92;-15,43;10,33;4,53;-24,41;-68,7;10,51;59,29;20,94;14,83;-6,6;-51,16;-2,7;-3,97;39,17;43,71;56,74;39,68;-34,52;-32,79;-45,47;15,86;-24,71;1,01;-135,86;-33,48;60,45;31,26;-34,16;7,79;-33,82;-30,57;-5,33;51,44;-85,83;13,9;-2,62;-25,92;24,08;-16,24;-35,18;73,49;-30,6;-6,28;6,16;11;-31,65;-19,02;36,92;-36,44;-8,37;96,6;-0,97;-18,22;-145,67;-34,9;70,3;-18,44;38,46;69,93;54,35;37,46;-38,94;152,81;-20,49;-46,33;-26,29;-34,6;-53,93;42,07;135,19;32,96;-63,26;21,24;41,67;-135,08;7,17;-23,4;27,71;26,61;-11,35;-22,84;-46,53;236,61;1,79;-20,52;-4,32;24,01;-71,79;-155,94;-0,28;-30,33;-13,44;19,24;13,38;150,33;22,7;-37,45;-124,76;121,54;-21,92;60,9;184,33;-56,71;-27,96;42,61;137,69;145,53;-165,59;113,22;175,08;10,05;-52,94;166,77;49,76;114,36;-54,87;160,76;93,83;-202,03;72,71;36,49;93,63
1;4,71;-7,38;0,41;-7,57;-4,24;-13,31;-6,74;-0,72;-8,61;13,97;24,93;-7,56;14,47;15,05;3,73;1,14;9,05;-16,81;25,06;0,95;14,53;15,95;-6,18;-2,92;8,84;16,65;-0,46;-9,87;-20,46;-10,88;8,84;11,09;15,64;20,7;-13,77;0,18;-2,56;2,85;-5,53;26,36;32,45;22,17;-2,51;50,22;-5,6;-8,07;19,71;20,84;12,99;4,85;-30,89;-0,39;-2,31;-9,72;8,23;0,42;-12,67;17,41;15,52;-20,56;21,44;4,39;-14,07;-18,5;4,15;32,26;3,04;-1,05;36,8;26,49;39,62;14,85;-3,64;4,8;-30,94;-13,59;26,45;36,34;-68,5;28,31;-5,45;-18,72;-25,67;18,29;-14,8;-26,14;7,85;-45,98;-43,9;5,33;-32,73;51,7;28,37;-11,62;-2,57;-16,33;-39,89;-15,31;-17,81;55,7;10,86;-111,84;-1,63;22,07;36,5;-15,26;32,85;-5,5;-33,39;-44,91;50,24;-110;16,4;15,76;1,99;12,64;-33,46;-28,85;57,93;-5,7;61,26;-13,33;29,68;4,15;40,56;-28,12;-26,39;39,76;43,56;0,99;49,78;-36,82;-90,37;54,27;12,43;61,88;133,79;67,23;-9,67;-70,37;77,03;-29,95;-58,38;26,95;-38,54;-23,6;69,11;10,64;21,84;-53,15;-23,14;7,64;63,42;-7,49;0,29;-103,86;14,69;4,61;12,33;44,01;177,13;40,19;-42,4;-10,26;-51,12;0,09;-47,74;67,11;-34,82;207,47;-48,99;34,48;-98,69;-62,43;66,51;-114,01;86,92;76,14;147,56;170,79;-3,31;21,65;74,48;126,94;52,47;-128,61;125,79;106,06;89,87;8,74;115,43;159,05;23,12;-21,07;107,91;3,44;-111,03;350,27;-88,27;132,15
-10,29;6,95;-5,16;-2,28;-3,24;-6,07;1,19;-11,19;-1,77;-16,95;10,11;6,04;12,08;9,37;18,79;5,21;13,9;3,45;11,87;17,63;11,32;36,26;10,71;-17,9;0,95;-0,5;4,78;13,63;7,57;3,69;-15,47;3,63;-8,64;24,27;1,43;-29,11;5,58;11,6;1,04;-4,5;4,67;-7,04;13,44;10,3;-13,31;-6,05;14,86;-2,94;-9,61;15,49;16,52;-34,41;-1,68;-2,26;-25,14;-3,01;-18,81;11,75;5,31;5,69;3,39;7,91;3,1;19,42;-17,7;-32,27;27,82;38,15;-6,04;2,12;24,65;37,11;5,98;17,69;25,03;-5,98;-21,08;16,79;16,19;-0,05;-3,23;19,2;-26,49;-57,25;6,79;28,52;21,71;-10,01;10,16;-44,18;-28,31;0,65;9,56;0,06;22,41;57,27;-40,25;-10,21;-49,42;22,75;-33,8;-15,13;-41;-28,82;56,57;28,05;-59,58;1,02;-15,98;-26,13;-70,35;6,39;-10,29;4,19;24,16;-22,71;-19,44;-25,86;-38,46;56,99;-61,62;-12,38;2,23;1,97;-30,75;-29,17;24,62;-43,43;61,5;46,84;-17,56;-23,15;-57,09;-0,93;77,47;-31,07;-2,21;-27,39;23,14;-41,5;-22,12;52,14;13,45;-3,97;74,84;-51,48;-249,61;42,19;192,11;24,33;-70,68;27,42;150,32;-163,8;-63,95;-16,86;24,51;11,48;-91,1;-56,41;-34,36;103,45;17,89;0,9;22,2;9,22;-117,64;-146,8;-28,73;45,53;-96,31;-50,68;13,44;-34,29;-40,28;-99,36;17,04;161,71;-30,49;16,86;149,61;-81,45;-55,02;240,87;40,88;151,95;-128,06;-14,66;288,39;34,06;-166,85;165,31;-38,8;11,5;-101,39;78,29;102,31;-203,24;-54;-33,18;-16,44
